time	sn_day_avg	sn_day_max	sn_day_min	sm_day_avg	sm_day_max	sm_day_min	sx_day_avg	sx_day_max	sx_day_min	dn_day_avg	dn_day_max	dn_day_min	dm_day_avg	dm_day_max	dm_day_min	dx_day_avg	dx_day_max	dx_day_min	ta_day_avg	ta_day_max	ta_day_min	pa_day_avg	pa_day_max	pa_day_min	ua_day_avg	ua_day_max	ua_day_min	rc_day_avg	rc_day_max	rc_day_min	rd_day_avg	rd_day_max	rd_day_min	ri_day_avg	ri_day_max	ri_day_min	
2018-01-01 00:00:00+01	0.42	2.50	0.00	1.02	3.90	0.10	1.58	5.90	0.30	219.26	359.00	1.00	241.57	359.00	0.00	218.35	359.00	0.00	5.51	9.30	2.10	980.54	981.60	979.00	72.08	80.00	60.50	0.02	0.35	0.00	83.43	1730.00	0.00	0.00	0.60	0.00	
2018-01-02 00:00:00+01	0.41	2.70	0.00	1.24	5.10	0.10	2.04	7.90	0.20	225.48	357.00	0.00	264.61	359.00	0.00	237.39	359.00	0.00	2.28	5.70	-2.00	981.21	984.30	979.60	73.96	80.50	65.50	0.01	0.03	0.00	93.61	400.00	0.00	0.00	0.40	0.00	
2018-01-03 00:00:00+01	0.81	4.60	0.00	2.35	8.20	0.10	3.85	11.90	0.20	174.13	350.00	1.00	222.26	354.00	2.00	229.65	359.00	0.00	4.00	6.30	0.20	974.93	984.50	966.90	67.01	79.10	43.50	0.79	2.01	0.00	2729.39	7000.00	0.00	0.08	2.20	0.00	
2018-01-04 00:00:00+01	0.98	5.10	0.00	2.57	8.20	0.30	4.02	11.50	0.80	179.04	257.00	1.00	223.17	328.00	110.00	244.43	359.00	0.00	5.48	7.80	4.00	973.89	975.50	970.90	64.41	77.70	53.10	0.53	2.02	0.00	4576.91	7070.00	0.00	0.02	0.90	0.00	
2018-01-05 00:00:00+01	0.57	4.40	0.00	1.83	7.10	0.10	3.06	10.70	0.30	191.00	359.00	0.00	207.48	359.00	0.00	205.48	359.00	0.00	6.68	9.90	3.00	975.05	979.60	971.00	61.41	74.30	51.80	0.17	0.81	0.00	1150.39	5060.00	0.00	0.03	1.50	0.00	
2018-01-06 00:00:00+01	0.24	1.50	0.00	0.64	1.90	0.10	1.02	2.60	0.30	209.61	359.00	0.00	201.13	359.00	0.00	169.30	359.00	0.00	7.65	10.10	5.50	983.03	987.10	979.40	76.64	81.00	69.30	0.04	0.93	0.00	352.09	5880.00	0.00	0.00	0.10	0.00	
2018-01-07 00:00:00+01	0.72	4.60	0.00	2.06	6.20	0.10	3.38	8.90	0.30	193.43	359.00	0.00	66.48	359.00	0.00	103.09	357.00	0.00	5.75	7.90	1.50	995.39	1003.40	987.00	77.06	80.20	71.70	0.00	0.00	0.00	12.70	100.00	0.00	0.00	0.00	0.00	
2018-01-08 00:00:00+01	0.63	3.50	0.00	2.48	5.30	0.40	4.54	8.90	1.10	165.35	359.00	0.00	69.74	118.00	24.00	136.35	268.00	51.00	0.85	1.50	-0.50	1004.97	1007.60	1002.90	76.04	78.50	72.80	0.14	0.24	0.00	975.04	1860.00	0.00	0.01	1.30	0.00	
2018-01-09 00:00:00+01	0.57	3.10	0.00	2.37	6.00	0.20	4.38	9.20	0.60	172.30	359.00	0.00	71.13	357.00	1.00	136.22	355.00	1.00	0.43	3.10	-2.60	1001.54	1006.70	994.60	67.53	76.70	57.70	0.01	0.24	0.00	82.30	1860.00	0.00	0.00	0.10	0.00	
2018-01-10 00:00:00+01	0.42	2.40	0.00	1.26	3.40	0.10	2.05	5.10	0.30	182.61	359.00	0.00	88.39	359.00	0.00	110.83	356.00	0.00	3.71	5.50	2.30	988.82	993.50	985.80	69.88	76.50	66.10	0.01	0.08	0.00	88.96	1090.00	0.00	0.00	0.50	0.00	
